"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
2750,1796,FALSE,170,121,62,194,0,0,0,0.0684268131923095,0.513087240509037
2751,1432,FALSE,872,102,156,8,0,0,0,0.0848036827608235,0.360660705182757
2752,1542,FALSE,763,139,3,83,0,0,0,0.0962102539364778,0.684249796775129
2753,1668,FALSE,712,32,127,63,0,0,1,0.0790202481967531,0.479087731136381
2754,395,FALSE,158,82,134,195,0,0,1,0.090910892328356,0.72762881803318
2755,238,FALSE,943,42,12,24,0,0,2,0.0857610035137983,0.534357955933973
2756,485,FALSE,512,104,114,7,0,0,0,0.0790553433331358,0.675436888451536
2757,1372,FALSE,646,60,87,92,0,0,0,0.0876134018789789,0.536869124943552
2758,1679,FALSE,311,149,71,108,3,3,4,0.077206331056822,0.664784204551407
2759,574,FALSE,266,52,197,185,0,0,0,0.0825465245005115,0.603977712936091
2760,315,FALSE,713,89,145,167,0,0,0,0.0790328578012999,0.349920132407478
2761,589,FALSE,296,185,153,126,0,0,0,0.0720772130130935,0.471004787472374
2762,1544,FALSE,11,71,131,190,0,0,0,0.0897588481312538,0.512370147530513
2763,1286,FALSE,705,80,117,49,0,0,0,0.0903652288313932,0.629777872052639
2764,1976,FALSE,593,113,146,174,0,0,0,0.0842269252171405,0.550873007853845
2765,392,FALSE,983,34,25,127,0,0,0,0.0938724947466088,0.606835549871634
2766,97,FALSE,218,128,95,105,0,0,0,0.100812456037827,0.573296064526169
2767,341,FALSE,34,115,128,9,0,0,0,0.0901614914249489,0.717071577641412
2768,68,FALSE,626,139,3,83,0,0,0,0.0962102539364778,0.533909314371431
2769,234,FALSE,227,123,97,90,0,0,1,0.0935946496638138,0.376887600996179
2770,711,FALSE,101,26,17,109,0,1,9,0.0938724947466088,0.740129009612113
2771,1173,FALSE,511,181,164,102,0,0,0,0.0701884282005818,0.54047981551945
2772,861,FALSE,284,164,165,12,0,0,0,0.0914092463165383,0.588464051101238
2773,1885,TRUE,856,199,6,163,9,18,108,0.0832749233613349,0.999999982346661
2774,1512,FALSE,548,152,37,146,0,0,0,0.0790553433331358,0.591001798362339
2775,790,FALSE,36,143,41,54,0,0,1,0.0746152698418388,0.432722538989147
2776,615,FALSE,928,195,78,58,0,0,2,0.122813475940975,0.509371826719145
2777,651,FALSE,629,6,64,138,0,0,0,0.0990743318918274,0.592208698786245
2778,266,FALSE,788,135,126,145,0,0,0,0.0831707975044816,0.557385812313479
2779,666,FALSE,811,86,116,31,0,0,2,0.0798084755565361,0.70450533000681
2780,1083,FALSE,128,6,64,138,0,0,0,0.075544822492641,0.600718222306965
2781,428,FALSE,956,88,122,22,0,0,0,0.091961069648579,0.516175467796016
2782,1623,FALSE,134,29,18,198,0,0,0,0.0879117231603782,0.672331107838662
2783,652,FALSE,236,126,113,71,0,0,1,0.0768275729872483,0.654340095448018
2784,283,FALSE,281,104,114,7,0,0,0,0.0807209627714674,0.551297011002794
2785,951,FALSE,949,83,59,140,0,0,1,0.0833090523796387,0.631555494607216
2786,798,FALSE,198,143,41,54,0,0,1,0.0800474784157392,0.485477552562556
2787,525,TRUE,889,193,90,35,8,12,106,0.0920072531624143,0.999999958479218
2788,958,FALSE,482,77,124,121,0,0,0,0.0746152698418388,0.658524951014847
2789,935,FALSE,55,78,110,122,0,0,0,0.0897331443670147,0.581122344272622
2790,1191,FALSE,133,113,146,174,0,0,0,0.08394246057689,0.516333528904403
2791,1543,FALSE,59,135,126,145,0,0,0,0.076012523854172,0.562216085125431
2792,30,FALSE,329,164,165,12,0,0,0,0.0800474784157392,0.430825162573154
2793,554,FALSE,187,146,184,64,0,0,0,0.0897626956303476,0.443299019289368
2794,1358,FALSE,140,59,31,130,0,0,0,0.0718969956765922,0.564086236240295
2795,862,FALSE,819,109,73,36,0,0,0,0.0921778532358897,0.517125482312942
2796,377,FALSE,130,83,59,140,0,1,1,0.0830367412636811,0.611915179064639
2797,21,FALSE,304,92,14,13,0,0,0,0.0784429296712943,0.466668596212934
2798,271,FALSE,443,14,138,162,0,0,0,0.0764796582552082,0.41490012207569
2799,267,FALSE,357,101,173,30,0,0,0,0.0990743318918274,0.453049783539479
2800,1935,FALSE,456,67,143,99,0,0,0,0.0805221784117377,0.52998486561857
2801,635,TRUE,953,112,159,67,5,9,94,0.0933829229360678,0.961576349697333
2802,837,FALSE,705,80,117,49,0,0,0,0.0870360889196701,0.497946897459052
2803,305,FALSE,761,102,156,8,0,0,0,0.0928716867430503,0.52720180079019
2804,1204,FALSE,527,95,169,33,0,0,0,0.0826372286016341,0.789701678247491
2805,475,FALSE,814,37,152,135,0,0,0,0.0800474784157392,0.464988000852209
2806,651,FALSE,629,6,64,138,0,0,0,0.0809405854175867,0.649410713649597
2807,1266,FALSE,684,11,149,44,0,0,1,0.0921778532358897,0.576208371160632
