"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
375,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.657705651934492
376,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.746828144790931
377,98,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.650209863426645
378,19,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.476095498242829
379,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.50245142626996
380,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.513896871738374
381,90,FALSE,42,3,10,5,0,0,0,0.0970420208308609,0.512583453730639
382,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.465526013073874
383,37,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.706251811483262
384,46,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.445876737303645
385,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.596767889057175
386,28,TRUE,37,6,6,6,4,5,29,0.30708218561556,0.861130485411837
387,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.615092980890041
388,87,TRUE,20,10,2,2,1,1,4,0.125878609612025,0.805685653933412
389,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.519537372118877
390,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.970090179569842
391,79,TRUE,50,5,7,10,2,2,2,0.145205102176674,0.897446717458074
392,100,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.61936306329902
393,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.51863927521223
394,99,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.693433168127041
395,60,FALSE,27,10,2,2,0,0,4,0.125878609612025,0.534683033712474
396,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.398223794132368
397,71,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.387822927944235
398,99,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.739467245296781
399,46,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.57448919225795
400,94,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.909593083990499
401,88,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.486551934362549
402,14,FALSE,5,9,5,3,1,4,20,0.265058620995596,0.542813454304564
403,93,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.590460859498895
404,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.582766553392151
405,42,FALSE,23,5,7,10,0,0,2,0.145205102176674,0.712847890116467
406,36,FALSE,14,4,4,7,5,13,30,0.32024948589206,0.679185083355356
407,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.508889706038899
408,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.742254340661297
409,18,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.582815687129695
410,26,TRUE,30,2,9,9,3,3,3,0.171808142870807,0.808683530243567
411,25,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.620646647513686
412,22,TRUE,21,6,6,6,4,17,29,0.30708218561556,0.886933371510977
413,96,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.673328076555264
414,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.361227963780931
415,33,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.555183701553902
416,85,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.645678212662406
417,29,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.665242277847784
418,27,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.638652494571403
419,20,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.725118653498896
420,17,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.682134906027043
421,96,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.589799321372937
422,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.45524090874653
423,83,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.730100239172314
424,37,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.75762949864234
425,1,TRUE,44,4,4,7,5,13,30,0.32024948589206,0.884987163503932
426,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.487469816896851
427,84,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.638429603467148
428,9,TRUE,21,6,6,6,6,17,29,0.30708218561556,0.974162041408548
429,69,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.410701045570872
430,60,FALSE,27,10,2,2,0,0,4,0.125878609612025,0.64364519883309
431,70,FALSE,4,10,2,2,0,0,4,0.125878609612025,0.517115478824927
432,1,TRUE,44,4,4,7,5,13,30,0.32024948589206,0.837649153828299
433,71,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.364935474671353
434,56,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.563129863530425
435,6,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.558740374105317
436,82,FALSE,14,4,4,7,3,13,30,0.32024948589206,0.789454173134378
437,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.706334981685816
